Month,M2,M1,Mo
2006.01,303571.65,107250.68,29310.37
2006.02,304516.27,104357.08,24482.02
2006.03,310490.65,106737.08,23472.03
2006.04,313702.34,106389.11,24155.73
2006.05,316709.81,109219.22,23465.32
2006.06,322756.35,112342.36,23469.08
2006.07,324010.76,112653.04,23752.59
2006.08,327885.67,114845.67,24185.36
2006.09,331865.36,116814.1,25687.38
2006.1,332747.17,118359.96,24964.16
2006.11,337504.15,121644.95,25527.25
2006.12,345577.91,126028.05,27072.62
2007.01,351498.77,128484.06,27949.13
2007.02,358659.25,126258.08,30627.93
2007.03,364104.66,127881.31,27387.95
2007.04,367326.45,127678.33,27813.88
2007.05,369718.15,130275.8,26727.97
2007.06,377832.15,135847.4,26881.09
2007.07,383884.88,136237.43,27326.26
2007.08,387205.04,140993.21,27822.39
2007.09,393098.91,142591.57,29030.58
2007.1,394204.17,144649.33,28317.78
2007.11,399757.91,148009.82,28987.92
2007.12,403401.3,152519.17,30334.32
2008.01,417846.17,154872.59,36673.15
2008.02,421037.84,150177.88,32454.47
2008.03,423054.53,150867.47,30433.07
2008.04,429313.72,151694.91,30789.61
2008.05,436221.6,153344.75,30169.3
2008.06,443141.02,154820.15,30181.32
2008.07,446362.17,154992.44,30687.19
2008.08,448846.68,156889.92,30851.62
2008.09,452898.71,155748.97,31724.88
2008.1,453133.32,157194.36,31317.84
2008.11,458644.66,157826.63,31607.36
2008.12,475166.6,166217.13,34218.96
2009.01,496135.31,165214.34,41082.37
2009.02,506708.07,166149.6,35141.64
2009.03,530626.71,176541.13,33746.42
2009.04,540481.21,178213.57,34257.27
2009.05,548263.51,182025.58,33559.52
2009.06,568916.2,193138.15,33640.98
2009.07,573102.85,195889.27,34239.3
2009.08,576698.95,200394.83,34406.62
2009.09,585405.34,201708.14,36787.89
2009.1,586643.29,207545.74,35730.23
2009.11,594604.72,212493.2,36343.86
2009.12,610224.52,221445.81,38246.97
2010.01,625609.29,229588.98,40758.58
2010.02,636072.26,224286.95,42865.79
2010.03,649947.46,229397.93,39080.58
2010.04,656561.22,233909.76,39657.54
2010.05,663351.37,236497.88,38652.97
2010.06,673921.72,240580,38904.85
2010.07,674051.48,240664.07,39543.16
2010.08,687506.92,244340.64,39922.76
2010.09,696471.5,243821.9,41854.41
2010.1,699776.74,253313.17,41646.21
2010.11,710339.03,259420.32,42252.16
2010.12,725851.79,266621.54,44628.17
2011.01,733884.83,261765.01,58063.94
2011.02,736130.86,259200.5,47270.24
2011.03,758130.88,266255.48,44845.22
2011.04,757384.56,266766.91,45489.03
2011.05,763409.22,269289.63,44602.83
2011.06,780820.85,274662.57,44477.8
2011.07,772923.65,270545.65,45183.1
2011.08,780852.3,273393.77,45775.29
2011.09,787406.2,267193.16,47145.29
2011.1,816829.25,276552.67,46579.39
2011.11,825493.94,281416.37,47317.26
2011.12,851590.9,289847.7,50748.46
2012.01,855898.89,270010.4,59820.72
2012.02,867171.42,270312.11,51448.78
2012.03,895565.5,277998.11,49595.74
2012.04,889604.04,274983.82,50199.32
2012.05,900048.77,278656.31,49039.72
2012.06,924991.2,287526.17,49284.64
2012.07,919072.4,283090.68,49705.85
2012.08,924894.59,285739.27,50235.06
2012.09,943688.75,286788.21,53433.49
2012.1,936404.28,293309.78,51467.71
2012.11,944832.4,296883,52392.12
2012.12,974148.8,308664.23,54659.77
2013.01,992129.25,311228.55,62449.63
2013.02,998600.83,296103.24,60313.65
2013.03,1035858.37,310898.29,55460.52
2013.04,1032551.9,307648.42,55607.15
2013.05,1042169.16,310204.48,54431.39
2013.06,1054403.69,313499.82,54063.91
2013.07,1052212.34,310596.46,54412.78
2013.08,1061256.43,314085.91,54925.35
2013.09,1077379.16,312330.34,56492.53
2013.1,1070242.17,319509.38,55595.72
2013.11,1079257.06,324821.92,56441.27
2013.12,1106524.98,337291.05,58574.44
2014.01,1123521.21,314900.55,76488.6
2014.02,1131760.83,316625.11,62320.95
2014.03,1160687.38,327683.74,58329.3
2014.04,1168812.67,324482.52,58615.54
2014.05,1182293.96,327839.56,58051.11
2014.06,1209587.2,341487.45,56951.05
2014.07,1194249.24,331347.32,57346.5
2014.08,1197499.08,332023.23,57997.61
2014.09,1202051.41,327220.21,58844.99
2014.1,1199236.31,329617.73,57691.64
2014.11,1208605.95,335114.13,58438.53
2014.12,1228374.81,348056.41,60259.53
2015.01,1242710.22,348109.5,63040.51
2015.02,1257380.48,334439.22,72896.19
2015.03,1275332.78,337210.52,61949.81
2015.04,1280779.14,336388.24,60772.46
2015.05,1307357.63,343085.86,59075.97
2015.06,1333375.36,356082.86,58604.26
2015.07,1353210.92,353122.19,59010.71
2015.08,1356907.98,362793.73,59061.79
2015.09,1359824.06,364416.9,61022.97
2015.1,1361020.7,375806.45,59900.48
2015.11,1373956.01,387618.32,60328.24
2015.12,1392278.11,400953.44,63216.58
2016.01,1416319.55,412685.64,72526.51
2016.02,1424618.68,392504.7,69421.5
2016.03,1446198.03,411581.31,64651.21
2016.04,1445209.59,413504.84,64403.17
2016.05,1461695.11,424250.7,62780.71
2016.06,1490491.83,443643.7,62818.89
2016.07,1491558.72,442934.43,63276.01
2016.08,1510982.91,454543.6,63454.7
2016.09,1516360.5,454340.25,65068.62
2016.1,1519485.4,465446.65,64214.93
2016.11,1530432.06,475405.54,64903.5
2016.12,1550066.67,486557.24,68303.87
2017.01,1584194.56,472526.45,86598.61
2017.02,1589857,476527.6,71727.69
2017.03,1607938.98,488770.09,68605.05
2017.04,1603918.84,490180.42,68392.6
2017.05,1609740.77,496389.78,67333.21
2017.06,1639497.05,510228.17,66977.68
2017.07,1636341.11,510484.58,67129.04
2017.08,1652947.3,518113.93,67550.99
2017.09,1663666.05,517863.04,69748.54
2017.1,1662449.96,525977.19,68230.69
2017.11,1679156.64,535565.05,68623.16
2017.12,1690235.31,543790.15,70645.6
2018.01,1720814.46,543247.13,74636.29
2018.02,1729070.12,517035.99,81424.24
2018.03,1739859.48,523540.07,72692.63
2018.04,1737683.73,525447.77,71476.46
2018.05,1743063.79,526276.72,69774.81
2018.06,1770178.37,543944.71,69589.33
2018.07,1776196.11,536624.29,69530.59
